ID,region_narrow,name,sex,country,notes,lat,long,hindwingWhite,forewingTip,groundColour,group,bam
SM19M056,MPL,Ross,M,Kenya,Father of AB194,0.352,36.896,absent,partial,dark,other,SM19M056.EDSW200000314-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM17X01,XXX,Giselle,F,N/A,Mother of brood MB175. Cured of spiroplasma,NA,NA,present,present,light,other,SM17X01.H355CCCXY.170724.Dchry2.2.bwa.default.rmdup.bam
MB17501,XXX,MB17501,M,N/A,MB175 appears to be two broods that were accidentally merged,NA,NA,absent,present,dark,other,MB17501.HGV2GDSXX.190705.Dchry2.2.bwa.default.rmdup.bam
MB17502,XXX,MB17502,F,N/A,MB175 appears to be two broods that were accidentally merged,NA,NA,absent,present,intermediate,other,MB17502.HGV2GDSXX.190705.Dchry2.2.bwa.default.rmdup.bam
MB17503,XXX,MB17503,F,N/A,MB175 appears to be two broods that were accidentally merged,NA,NA,absent,present,dark,other,MB17503.HGV2GDSXX.190706.Dchry2.2.bwa.default.rmdup.bam
MB17507,XXX,MB17507,M,N/A,MB175 appears to be two broods that were accidentally merged,NA,NA,absent,partial,light,other,MB17507.HGV2GDSXX.190705.Dchry2.2.bwa.default.rmdup.bam
MB17521,XXX,MB17521,M,N/A,MB175 appears to be two broods that were accidentally merged,NA,NA,absent,partial,light,other,MB17521.HGV2GDSXX.190705.Dchry2.2.bwa.default.rmdup.bam
SM18S10,XXX,Amore,F,N/A,Suspected aunt of brood MB181. Suspected captive bred individual,NA,NA,absent,present,intermediate,other,SM18S10.UKDSW02199.220314.Dchry2.2.bwa.default.rmdup.bam
MB18102,XXX,Coco,F,N/A,Brood MB181,NA,NA,absent,partial,light,other,MB18102.18990.210209.Dchry2.2.bwa.default.rmdup.bam
MB18103,XXX,MB18103,F,N/A,Brood MB182,NA,NA,partial,partial,light,other,MB18103.merged.211111.Dchry2.2.bwa.default.rmdup.bam
MB18111,XXX,Prunella,F,N/A,Pupa not actually part of brood MB181,NA,NA,NA,NA,NA,other,MB18111.UKDSW02198.190810.Dchry2.2.bwa.default.rmdup.bam
AB19401,XXX,Nyika,F,N/A,Brood AB194,NA,NA,absent,present,dark,other,AB19401.EDSW200000316-1a.220314.Dchry2.2.bwa.default.rmdup.bam
SB21102,XXX,SB21102,F,N/A,Brood SB211,NA,NA,absent,present,dark,other,SB21102.merged.211111.Dchry2.2.bwa.default.rmdup.bam
