ID,region_narrow,name,sex,country,notes,lat,long,hindwingWhite,forewingTip,groundColour,group,bam
SM17R23,NYA,Dorothy,F,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,SM17R23.EDSW190027016-1a.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
IG17NY001,NYA,Macavity,M,Rwanda,N/A,-2.154,30.077,partial,present,dark,other,IG17NY001.EDSW200000304-1a.220307.Dchry2.2.bwa.default.rmdup.bam
SM18R001,NYA,Ed,M,Rwanda,N/A,-2.154,30.077,partial,present,dark,other,SM18R001.UKDSW02210-C.220307.Dchry2.2.bwa.default.rmdup.bam
SM18R012,NYA,Aloysius,M,Rwanda,N/A,-2.154,30.077,partial,present,dark,other,SM18R012.EDSW200018977-1a.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
IG18RN01,NYA,Steve,M,Rwanda,N/A,-2.154,30.077,absent,present,light,other,IG18RN01.UKDSW02211-1.220307.Dchry2.2.bwa.default.rmdup.bam
IG18RN02,NYA,Marion,F,Rwanda,N/A,-2.154,30.077,absent,present,light,other,IG18RN02.UKDSW02212-C-1.220307.Dchry2.2.bwa.default.rmdup.bam
IG20NY001,NYA,Maria,F,Rwanda,N/A,-2.154,30.077,partial,partial,light,other,IG20NY001.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY003,NYA,Sabin,F,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY003.merged.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY006,NYA,Yvan,M,Rwanda,N/A,-2.154,30.077,absent,present,intermediate,other,IG20NY006.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY009,NYA,Wilfred,M,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY009.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY012,NYA,Nadine,F,Rwanda,N/A,-2.154,30.077,absent,absent,light,other,IG20NY012.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY014,NYA,Enatha,F,Rwanda,N/A,-2.154,30.077,absent,absent,light,other,IG20NY014.merged.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY015,NYA,Tharcisse,M,Rwanda,N/A,-2.154,30.077,absent,partial,light,other,IG20NY015.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY016,NYA,Noah ,M,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY016.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY017,NYA,Abel,M,Rwanda,N/A,-2.154,30.077,absent,absent,intermediate,other,IG20NY017.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY018,NYA,Alec,M,Rwanda,N/A,-2.154,30.077,partial,partial,light,other,IG20NY018.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY019,NYA,Gilbert,M,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY019.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY020,NYA,Kirsty ,F,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY020.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY021,NYA,Davina,F,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY021.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY023,NYA,Yvonne,F,Rwanda,N/A,-2.154,30.077,absent,partial,light,other,IG20NY023.H5CKGDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY024,NYA,Kevin,M,Rwanda,N/A,-2.154,30.077,absent,absent,light,other,IG20NY024.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY025,NYA,Adam ,M,Rwanda,N/A,-2.154,30.077,partial,present,light,other,IG20NY025.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY026,NYA,Thomas,M,Rwanda,N/A,-2.154,30.077,present,present,light,other,IG20NY026.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY029,NYA,Sive,F,Rwanda,N/A,-2.154,30.077,absent,partial,light,other,IG20NY029.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY030,NYA,Nathan,M,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY030.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY031,NYA,Natalie ,F,Rwanda,N/A,-2.154,30.077,absent,absent,intermediate,other,IG20NY031.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY032,NYA,Mike,M,Rwanda,N/A,-2.154,30.077,partial,present,dark,other,IG20NY032.H5CKGDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY033,NYA,Larry ,M,Rwanda,N/A,-2.154,30.077,partial,present,dark,other,IG20NY033.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY034,NYA,Lenny ,M,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY034.H5HJMDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY035,NYA,Gavin,M,Rwanda,N/A,-2.154,30.077,partial,present,dark,other,IG20NY035.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY036,NYA,Garfield,M,Rwanda,N/A,-2.154,30.077,absent,present,dark,other,IG20NY036.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY039,NYA,Trevor,M,Rwanda,N/A,-2.154,30.077,absent,present,intermediate,other,IG20NY039.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY040,NYA,Percy ,M,Rwanda,N/A,-2.154,30.077,absent,absent,light,other,IG20NY040.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
