indiv,region_narrow,name,sex,country,colour,region,notes,lat,long,hindwingWhite,forewingBand,backgroundColour,bam
SM16L05,MPL,Tinkerbell,F,Kenya,tomato,tomato4,N/A,0.189,37.139064,absent,present,light,SM16L05.UKDSW02206.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M009,MPL,Asali,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,partial,light,SM19M009.EDSW200000310-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M015,MPL,Njoki,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,partial,light,SM19M015.EDSW200000311-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M019,MPL,Diana,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,present,light,SM19M019.EDSW200000312-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M020,MPL,Salma,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,partial,light,SM19M020.EDSW200000313-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M021,MPL,Selma,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,present,light,SM19M021.EDSW200018988-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M025,MPL,Christina,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,partial,light,SM19M025.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M026,MPL,Alicia,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,partial,light,SM19M026.H3YGMDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M027,MPL,Isabella,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,absent,light,SM19M027.merged.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M030,MPL,Camilla ,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,partial,light,SM19M030.merged.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M036,MPL,Milo,M,Kenya,tomato,tomato4,N/A,0.352,36.896,partial,partial,light,SM19M036.EDSW200018983-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M038,MPL,Akinyi,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,absent,light,SM19M038.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M042,MPL,Zawadi ,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,absent,light,SM19M042.merged.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M043,MPL,Athena,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,partial,light,SM19M043.merged.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M044,MPL,Rehema,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,partial,light,SM19M044.merged.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M045,MPL,Esther,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,absent,light,SM19M045.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M051,MPL,Mercy,F,Kenya,tomato,tomato4,N/A,0.352,36.896,absent,partial,light,SM19M051.H3YGMDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M056,MPL,Ross,M,Kenya,tomato,tomato4,Father of AB194,0.352,36.896,absent,partial,dark,SM19M056.EDSW200000314-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM17X01,missing,Giselle,F,missing,darkgrey,darkgrey,Mother of brood MB175. Cured of spiroplasma,missing,missing,present,present,light,SM17X01.H355CCCXY.170724.Dchry2.2.bwa.default.rmdup.bam
MB17501,missing,MB17501,M,missing,darkgrey,darkgrey,MB175 appears to be two broods that were accidentally merged,missing,missing,absent,present,dark,MB17501.HGV2GDSXX.190705.Dchry2.2.bwa.default.rmdup.bam
MB17502,missing,MB17502,F,missing,darkgrey,darkgrey,MB175 appears to be two broods that were accidentally merged,missing,missing,absent,present,intermediate,MB17502.HGV2GDSXX.190705.Dchry2.2.bwa.default.rmdup.bam
MB17503,missing,MB17503,F,missing,darkgrey,darkgrey,MB175 appears to be two broods that were accidentally merged,missing,missing,absent,present,dark,MB17503.HGV2GDSXX.190706.Dchry2.2.bwa.default.rmdup.bam
MB17507,missing,MB17507,M,missing,darkgrey,darkgrey,MB175 appears to be two broods that were accidentally merged,missing,missing,absent,partial,light,MB17507.HGV2GDSXX.190705.Dchry2.2.bwa.default.rmdup.bam
MB17521,missing,MB17521,M,missing,darkgrey,darkgrey,MB175 appears to be two broods that were accidentally merged,missing,missing,absent,partial,light,MB17521.HGV2GDSXX.190705.Dchry2.2.bwa.default.rmdup.bam
SM18S10,missing,Amore,F,missing,darkgrey,darkgrey,Suspected aunt of brood MB181. Suspected captive bred individual,missing,missing,absent,present,intermediate,SM18S10.UKDSW02199.220314.Dchry2.2.bwa.default.rmdup.bam
MB18102,missing,Coco,F,missing,darkgrey,darkgrey,Brood MB181,missing,missing,absent,partial,light,MB18102.18990.210209.Dchry2.2.bwa.default.rmdup.bam
MB18103,missing,MB18103,F,missing,darkgrey,darkgrey,Brood MB182,missing,missing,partial,partial,light,MB18103.merged.211111.Dchry2.2.bwa.default.rmdup.bam
MB18111,missing,Prunella,F,missing,darkgrey,darkgrey,Pupa not actually part of brood MB181,missing,missing,missing,missing,missing,MB18111.UKDSW02198.190810.Dchry2.2.bwa.default.rmdup.bam
AB19401,missing,Nyika,F,missing,darkgrey,darkgrey,Brood AB194,missing,missing,absent,present,dark,AB19401.EDSW200000316-1a.220314.Dchry2.2.bwa.default.rmdup.bam
SB21102,missing,SB21102,F,missing,darkgrey,darkgrey,Brood SB211,missing,missing,absent,present,dark,SB21102.merged.211111.Dchry2.2.bwa.default.rmdup.bam
