indiv,region_narrow,name,sex,country,colour,region,notes,lat,long,hindwingWhite,forewingBand,backgroundColour,bam
SM21SP10,SPA,Graham,M,RSA,lightseagreen,royalblue2,N/A,-24.982,31.467,absent,present,dark,SM21SP10.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM21SP12,SPA,Rowan,M,RSA,lightseagreen,royalblue2,N/A,-24.982,31.467,absent,present,dark,SM21SP12.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM20BE01,KNM,Vernon,M,RSA,lightseagreen,royalblue2,N/A,-29.356,29.873,absent,present,dark,SM20BE01.EDSW210008702-1a.220314.Dchry2.2.bwa.default.rmdup.bam
SM21BE01,KNM,Carla,F,RSA,lightseagreen,royalblue2,N/A,-29.356,29.873,absent,present,dark,SM21BE01.303.220202.Dchry2.2.bwa.default.rmdup.bam
SM21BE02,KNM,Bruno ,M,RSA,lightseagreen,royalblue2,N/A,-29.356,29.873,absent,present,dark,SM21BE02.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM21BE03,KNM,Bandile,M,RSA,lightseagreen,royalblue2,N/A,-29.356,29.873,absent,present,dark,SM21BE03.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM21BE04,KNM,Otis,M,RSA,lightseagreen,royalblue2,N/A,-29.356,29.873,absent,present,dark,SM21BE04.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM21TS03,TSW,Mandla,M,RSA,lightseagreen,royalblue2,N/A,-27.295,22.482,absent,present,dark,SM21TS03.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM21TS05,TSW,Archie,M,RSA,lightseagreen,royalblue2,N/A,-27.295,22.482,absent,present,dark,SM21TS05.H5CKGDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM21TS16,TSW,Christalle,F,RSA,lightseagreen,royalblue2,N/A,-27.295,22.482,absent,present,dark,SM21TS16.308.220202.Dchry2.2.bwa.default.rmdup.bam
SM21TS33,TSW,Mandy,F,RSA,lightseagreen,royalblue2,N/A,-27.295,22.482,absent,present,dark,SM21TS33.309.220202.Dchry2.2.bwa.default.rmdup.bam
SM21TS34,TSW,Salome,F,RSA,lightseagreen,royalblue2,N/A,-27.295,22.482,absent,present,dark,SM21TS34.310.220202.Dchry2.2.bwa.default.rmdup.bam
SM21TS35,TSW,Mimi,F,RSA,lightseagreen,royalblue2,N/A,-27.295,22.482,absent,present,dark,SM21TS35.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM21TS36,TSW,Lillian,F,RSA,lightseagreen,royalblue2,N/A,-27.295,22.482,absent,present,dark,SM21TS36.EDSW220000311-1a.220215.Dchry2.2.bwa.default.rmdup_2sets.bam
SM17H01,STH,Estella,F,StHelena,royalblue2,royalblue2,N/A,-15.9249,-5.7175,absent,present,dark,SM17H01.302.200115.Dchry2.2.bwa.default.rmdup.bam_twosets.bam
SM17H02,STH,Biddy,F,StHelena,royalblue2,royalblue2,N/A,-15.9249,-5.7175,absent,present,dark,SM17H02.303.200115.Dchry2.2.bwa.default.rmdup.bam
SM17H03,STH,Fanny,F,StHelena,royalblue2,royalblue2,N/A,-15.9249,-5.7175,absent,present,dark,SM17H03.UKDSW02728.190728.Dchry2.2.bwa.default.rmdup.bam
SM17H04,STH,Pip,M,StHelena,royalblue2,royalblue2,N/A,-15.9249,-5.7175,absent,present,dark,SM17H04.UKDSW02729.220308.Dchry2.2.bwa.default.rmdup.bam
SM17H05,STH,Herbert,M,StHelena,royalblue2,royalblue2,N/A,-15.9249,-5.7175,absent,present,dark,SM17H05.EDSW200018973.2101.Dchry2.2.bwa.default.rmdup.bam
SM17H07,STH,Fagin,M,StHelena,royalblue2,royalblue2,N/A,-15.9249,-5.7175,absent,present,light,SM17H07.EDSW200018975.2101.Dchry2.2.bwa.default.rmdup.bam
SM16N01,NGA,Jenny,F,Nigeria,springgreen4,springgreen4,N/A,6.24,8.97,present,present,light,SM16N01.DSW44968.220307.Dchry2.2.bwa.default.rmdup.bam
SM16N04,NGA,Alanna,F,Nigeria,springgreen4,springgreen4,N/A,6.24,8.97,present,present,light,SM16N04.DSW31516.170110.Dchry2.2.bwa.default.rmdup.bam
SM16N05,NGA,Bubba,M,Nigeria,springgreen4,springgreen4,N/A,6.24,8.97,present,present,light,SM16N05.DSW44977.170724.Dchry2.2.bwa.default.rmdup.bam
SM16N06,NGA,Lorchan,M,Nigeria,springgreen4,springgreen4,N/A,6.24,8.97,present,present,light,SM16N06.DSW31517.220307.Dchry2.2.bwa.default.rmdup.bam
SM16N20,NGA,Callum,M,Nigeria,springgreen4,springgreen4,N/A,6.24,8.97,present,present,light,SM16N20.DSW44964.170724.Dchry2.2.bwa.default.rmdup.bam
SM16N37,NGA,Jackson,M,Nigeria,springgreen4,springgreen4,N/A,6.24,8.97,present,present,light,SM16N37.DSW44975.170724.Dchry2.2.bwa.default.rmdup.bam
OBGHA0010,GHA,Mercedes,F,Ghana,yellow3,springgreen4,N/A,6.85,0.42,present,present,light,OBGHA0010.293.220202.Dchry2.2.bwa.default.rmdup.bam
OBGHA0205,GHA,Tia,F,Ghana,yellow3,springgreen4,N/A,6.87,0.44,present,present,dark,OBGHA0205.294.220202.Dchry2.2.bwa.default.rmdup.bam
OBGHA0540,GHA,Chanel,F,Ghana,yellow3,springgreen4,N/A,6.13,-0.58,present,present,light,OBGHA0540.295.220202.Dchry2.2.bwa.default.rmdup.bam
OBGHA0542,GHA,Valerie,F,Ghana,yellow3,springgreen4,N/A,6.13,-0.58,present,present,light,OBGHA0542.296.220202.Dchry2.2.bwa.default.rmdup.bam
IG19G105,GHA,Kisi,F,Ghana,yellow3,springgreen4,Mother collected in Ghana. Mother of AB192,5.121,-1.293,present,present,light,IG19G105.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG19G114,GHA,Abina,F,Ghana,yellow3,springgreen4,"Female ""Abina"". Mother collected in Ghana. Father not collected. Mother of AB194.",5.121,-1.293,present,present,light,IG19G114.EDSW200000315-1a.220307.Dchry2.2.bwa.default.rmdup.bam
SM17FV04,FUV,Mandy,F,Spain,wheat1,goldenrod,N/A,28.331,-13.923,absent,present,dark,SM17FV04.UKDSW02207-C.220307.Dchry2.2.bwa.default.rmdup.bam
SM17FV05,FUV,Marlin,M,Spain,wheat1,goldenrod,N/A,28.331,-13.923,absent,present,dark,SM17FV05.HCMCFDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM17FV11,FUV,Zoe,F,Spain,wheat1,goldenrod,N/A,28.331,-13.923,absent,present,dark,SM17FV11.UKDSW02208.220307.Dchry2.2.bwa.default.rmdup.bam
RV12N317,TUN,Luna,F,Tunisia,goldenrod,goldenrod,N/A,35.549,9.754,absent,present,dark,RV12N317.DSW44978.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
SM19SY01,SCY,Giancarlo,M,Italy,hotpink,goldenrod,N/A,37.466,13.197,absent,present,dark,SM19SY01.EDSW200000305-1a.220307.Dchry2.2.bwa.default.rmdup.bam
SM19SY02,SCY,Adriano,M,Italy,hotpink,goldenrod,N/A,37.466,13.197,absent,present,dark,SM19SY02.301.220202.Dchry2.2.bwa.default.rmdup.bam
SM19SY03,SCY,Elisa,F,Italy,hotpink,goldenrod,N/A,37.466,13.197,absent,present,dark,SM19SY03.EDSW200018979-1a.220307.Dchry2.2.bwa.default.rmdup.bam
SM19SY05,SCY,Gino,M,Italy,hotpink,goldenrod,N/A,37.466,13.197,absent,present,dark,SM19SY05.302.220202.Dchry2.2.bwa.default.rmdup.bam
SM19SY06,SCY,Glenda,F,Italy,hotpink,goldenrod,N/A,37.466,13.197,absent,present,light,SM19SY06.EDSW200000306-1a.220307.Dchry2.2.bwa.default.rmdup.bam
SM17P01,PHL,Fionnula,F,Philippines,mediumorchid1,goldenrod,N/A,none,none,absent,present,light,SM17P01.DSW44982.220314.Dchry2.2.bwa.default.rmdup.bam
SM17R23,NYA,Dorothy,F,Rwanda,tomato4,tomato4,N/A,-2.22,30.12,absent,present,dark,SM17R23.EDSW190027016-1a.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
IG17NY001,NYA,Macavity,M,Rwanda,tomato4,tomato4,N/A,-2.22,30.12,partial,present,dark,IG17NY001.EDSW200000304-1a.220307.Dchry2.2.bwa.default.rmdup.bam
SM18R001,NYA,Ed,M,Rwanda,tomato4,tomato4,N/A,-2.22,30.12,partial,present,dark,SM18R001.UKDSW02210-C.220307.Dchry2.2.bwa.default.rmdup.bam
